TITOLO,ANNO,REGISTA,NUMERO,VOTO,IMDB,ROTTEN TOMATOES,MEDIA ,DIFFERENZA
Revenant - Redivivo,2015,Alejandro González Iñárritu,27,2,4,4,4,2
Revolutionary road,2008,Sam Mendes,19,3,4,3,"3,5","0,5"
Risvegli,1990,Penny Marshall,-0.5,3,4,3,"3,5","0,5"
Ritorno a Cold Mountain,2004,Anthony Minghella,0.2,4,4,3,"3,5","0,5"
Room,2015,Lenny Abrahamson,-0.4,3,4,4,4,1
Salvate il soldato Ryan,1998,Steven Spielberg,16,3,4,4,4,1
Saranno famosi,1980,Alan Parker,0,2,3,4,"3,5","1,5"
Saturno contro,2007,Ferzan Özpetek,3,3,3,0,"1,5","1,5"
Saw - L'enigmista,2004,James Wan,0.5,3,4,3,"3,5","0,5"
Saw II - La soluzione dell'enigma,2005,Darren Lynn Bousman,0,4,3,2,"2,5","1,5"
Saw III - L'enigma senza fine,2006,Darren Lynn Bousman,0.3,3,3,2,"2,5","0,5"
Saw IV - Il gioco continua,2007,Darren Lynn Bousman,0.2,2,3,2,"2,5","0,5"
Schindler's list - La lista di Schindler,1993,Steven Spielberg,16,4,4,4,4,0
Scoop,2006,Woody Allen,10,2,3,3,3,1
Se mi lasci ti cancello,2004,Michel Gondry,-0.2,4,4,4,4,0
Secret window,2004,David Koepp,-0.2,2,3,3,3,1
Sette psicopatici,2012,Martin McDonagh,-0.2,4,4,4,4,0
Seven,1995,David Fincher,25,2,4,4,4,2
Shame,2012,Steve McQueen,0.5,2,4,4,4,2
"She-Devil - Lei, il diavolo",1989,Susan Seidelman,-0.4,2,3,2,"2,5","0,5"
Shuttrer Island,2010,Martin Scorsese,23,4,4,3,"3,5","0,5"
Silkwood,1983,Mike Nichols,6,3,4,4,4,1
Skyfall,2012,Sam Mendes,19,4,4,4,4,0
Sleepers,1996,Barry Levinson,0,4,4,3,"3,5","0,5"
Spectre,2015,Sam Mendes,19,1,3,3,3,2
Spiderman,2002,Sam Raimi,-0.6,3,4,4,4,1
Steve Jobs,2015,Danny Boyle,31,0,4,4,4,4
Still Alice,2014,"Richard Glatzer, Wash Westmoreland",-0.2,4,4,4,4,0
Stoker,2013,Park Chan-wook,0.5,4,3,3,3,1
Submarine,2011,Richard Ayoade,0.5,3,4,4,4,1
Superman returns,2006,Bryan Singer,29,9,3,3,3,6
Sweeney Todd - Il diabolico barbiere di Fleet Street,2007,Tim Burton,15,3,4,4,4,1
Taken - La vendetta,2012,Olivier Megaton,0.3,0,3,2,"2,5","2,5"
Tallulah,2016,Sian Heder,0.4,2,4,4,4,2
Tess,1979,Roman Polański,20,9,4,4,4,5
The Artist,2011,Michel Hazanavicius,-0.2,5,4,4,4,1
The Aviator,2004,Martin Scorsese,23,4,4,4,4,0
The Black Dahlia,2006,Brian De Palma,28,3,3,2,"2,5","0,5"
The butterfly effect,2004,"Eric Bress, J. Mackye Gruber",-0.3,3,4,2,3,0
The Danish girl,2015,Tom Hooper,14,3,3,3,3,0
The dreamers,2003,Bernardo Bertolucci,2,5,4,3,"3,5","1,5"
The elephant man,1980,David Lynch,0,5,4,4,4,1
The Hateful Eight,2015,Quentin Tarantino,8,3,4,4,4,1
The Help,2012,Tate Taylor,-0.3,3,4,4,4,1
The Hours,2002,Stephen Daldry,18,5,4,4,4,1
The human centipede (first sequence),2010,Tom Six,-0.1,0,2,3,"2,5","2,5"
The Iron Lady,2011,Phyllida Lloyd,0.5,5,3,3,3,2
The lady in the van,2015,Nicholas Hytner,0.3,2,3,4,"3,5","1,5"
The Lobster,2015,Yorgos Lanthimos,0.1,4,4,4,4,0
The Mask - Da zero a mito,1994,Chuck Russell,0.2,5,3,3,3,2
The millionaire,2008,Danny Boyle,31,9,4,4,4,5
The Others,2001,Alejandro Amenábar,-0.3,4,4,4,4,0
The Prestige,2006,Christopher Nolan,26,3,4,4,4,1
The Reader - A voce alta,2009,Stephen Daldry,18,4,4,3,"3,5","0,5"
The Rocky horror picture show,1975,Jim Sharman,0,4,4,3,"3,5","0,5"
The Shining,1980,Stanley Kubrick,12,5,4,4,4,1
The social network,2010,David Fincher,25,1,4,4,4,3
The Terminal,2004,Steven Spielberg,16,3,4,3,"3,5","0,5"
The Tree of Life,2011,Terrence Malick,9,5,3,4,"3,5","1,5"
The Truman show,1998,Peter Weir,-0.2,4,4,4,4,0
The Untouchables - Gli intoccabili,1987,Brian De Palma,28,3,4,4,4,1
The wolf of Wall street,2014,Martin Scorsese,23,2,4,4,4,2
The zero theorem - Tutto è vanità,2013,Terry Gilliam,0.5,1,3,3,3,2
Thirteen - 13 anni,2003,Catherine Hardwicke,0,0,3,4,"3,5","3,5"
This must be the place,2011,Paolo Sorrentino,7,3,3,3,3,0
Ti presento i miei,2001,Jay Roach,33,3,3,3,3,0
Titanic,1997,James Cameron,-0.1,3,4,4,4,1
To Rome with love,2012,Woody Allen,10,0,3,3,3,3
To the wonder,2012,Terrence Malick,9,3,3,3,3,0
Tomboy,2011,Céline Sciamma,0.2,4,4,4,4,0
Travolti da un insolito destino nell'azzuro mare d'agosto,1974,Lina Wertmüller,0,3,4,3,"3,5","0,5"
Tropic thunder,2008,Ben Stiller,0,9,3,4,"3,5","5,5"
Trumbo,2015,Jay Roach,33,2,4,3,"3,5","1,5"
Tutti pazzi per Mary,1998,"Peter Farrelly, Bobby Farrelly",-0.7,3,4,3,"3,5","0,5"
Two mothers,2013,Anne Fontaine,0.3,3,3,2,"2,5","0,5"
Un pesce di nome Wanda,1988,"John Cleese, Charles Crichton",0,3,4,4,4,1
Una commedia sexy in una notte di mezza estate,1982,Woody Allen,10,0,3,3,3,3
Una settimana da Dio,2003,Tom Shadyac,-0.2,2,4,3,"3,5","1,5"
Une nouvelle amie,2014,François Ozon,24,2,3,3,3,1
Uomini che odiano le donne,2009,Niels Arden Oplev,0.5,4,4,4,4,0
V per Vendetta,2005,James McTeigue,-0.3,2,4,3,"3,5","1,5"
Vacanze romane,1953,William Wyler,0,3,4,4,4,1
Velluto blu,1986,David Lynch,0,2,4,4,4,2
Vicky Cristina Barcelona,2008,Woody Allen,10,2,4,3,"3,5","1,5"
Victor Victoria,1982,Blake Edwards,0.2,3,3,4,"3,5","0,5"
Visitors,2014,Godfrey Reggio,-0.1,3,3,3,3,0
Vita di Pi,2012,Ang Lee,0.1,1,4,4,4,3
Viva la libertà,2013,Roberto Andò,0.1,3,3,3,3,0
Will Hunting - Genio ribelle,1997,Gus Van Sant,-0.2,1,4,4,4,3
Wolf - La belva è fuori,1994,Mike Nichols,6,2,3,3,3,1
Wuthering heights,1992,Peter Kosminsky,0,1,3,2,"2,5","1,5"
X-Men,2000,Bryan Singer,29,3,4,4,4,1
X-Men 2,2003,Bryan Singer,29,2,4,4,4,2
X-Men le origini - Wolverine,2009,Gavin Hood,0.5,2,3,3,3,1
Youth - La giovinezza,2015,Paolo Sorrentino,7,3,4,3,"3,5","0,5"
